graph_problem,object,solution depth,solution cost,solution path,nodes expanded,time
600,bidirectional_breadth_first_search,2,22,"('State: 0, Extra: None -> 69', '69 -> State: 525, Extra: None')",419,0.0053967
600,best_first_search,2,20,"('State: 0, Extra: None -> 254', 'State: 254, Extra: None -> 525')",1823,0.0111424
600,bidirectional_best_first_search,2,20,"('State: 0, Extra: None -> 254', '254 -> State: 525, Extra: None')",125,0.0006311
600,near_optimal_front_to_end_bidirectional_search,2,20,"('State: 0, Extra: None -> 254', '254 -> State: 525, Extra: None')",1639,0.2197867
600,near_optimal_front_to_end_bidirectional_search_threads,2,20,"('State: 0, Extra: None -> 254', '254 -> State: 525, Extra: None')",1639,0.2088521
700,bidirectional_breadth_first_search,3,40,"('State: 0, Extra: None -> 51', '51 -> State: 56, Extra: None', '56 -> State: 526, Extra: None')",277,0.0015491
700,best_first_search,2,22,"('State: 0, Extra: None -> 242', 'State: 242, Extra: None -> 526')",3772,0.0161506
700,bidirectional_best_first_search,2,22,"('State: 0, Extra: None -> 242', '242 -> State: 526, Extra: None')",144,0.0007558
700,near_optimal_front_to_end_bidirectional_search,2,22,"('State: 0, Extra: None -> 216', '216 -> State: 526, Extra: None')",2635,0.4830332
700,near_optimal_front_to_end_bidirectional_search_threads,2,22,"('State: 0, Extra: None -> 216', '216 -> State: 526, Extra: None')",2635,0.4660709
800,bidirectional_breadth_first_search,2,23,"('State: 0, Extra: None -> 102', '102 -> State: 736, Extra: None')",738,0.003372
800,best_first_search,2,21,"('State: 0, Extra: None -> 490', 'State: 490, Extra: None -> 736')",4329,0.0197144
800,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 490', '490 -> State: 736, Extra: None')",157,0.0007898
800,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 490', '490 -> State: 736, Extra: None')",2235,0.3894826
800,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 490', '490 -> State: 736, Extra: None')",2235,0.3786014
900,bidirectional_breadth_first_search,3,32,"('State: 0, Extra: None -> 16', 'State: 16, Extra: None -> 66', '66 -> State: 270, Extra: None')",439,0.0018199
900,best_first_search,2,21,"('State: 0, Extra: None -> 702', 'State: 702, Extra: None -> 270')",6146,0.0247598
900,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 702', '702 -> State: 270, Extra: None')",197,0.0010264
900,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 702', '702 -> State: 270, Extra: None')",3589,0.8914382
900,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 702', '702 -> State: 270, Extra: None')",3589,0.8830585
1000,bidirectional_breadth_first_search,3,36,"('State: 0, Extra: None -> 24', 'State: 24, Extra: None -> 75', '75 -> State: 818, Extra: None')",716,0.0040756
1000,best_first_search,2,21,"('State: 0, Extra: None -> 821', 'State: 821, Extra: None -> 818')",6007,0.0323836
1000,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 821', '821 -> State: 818, Extra: None')",190,0.0009403
1000,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 670', '670 -> State: 818, Extra: None')",2271,0.4296234
1000,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 670', '670 -> State: 818, Extra: None')",2271,0.3974057
1100,bidirectional_breadth_first_search,2,26,"('State: 0, Extra: None -> 61', '61 -> State: 996, Extra: None')",312,0.0025706
1100,best_first_search,2,22,"('State: 0, Extra: None -> 339', 'State: 339, Extra: None -> 996')",8409,0.1473703
1100,bidirectional_best_first_search,2,22,"('State: 0, Extra: None -> 339', '339 -> State: 996, Extra: None')",203,0.0010749
1100,near_optimal_front_to_end_bidirectional_search,2,22,"('State: 0, Extra: None -> 339', '339 -> State: 996, Extra: None')",4772,1.5939066
1100,near_optimal_front_to_end_bidirectional_search_threads,2,22,"('State: 0, Extra: None -> 339', '339 -> State: 996, Extra: None')",4772,1.5535359
1200,bidirectional_breadth_first_search,3,34,"('State: 0, Extra: None -> 40', 'State: 40, Extra: None -> 83', '83 -> State: 338, Extra: None')",856,0.003759
1200,best_first_search,2,21,"('State: 0, Extra: None -> 97', 'State: 97, Extra: None -> 338')",10310,0.0443963
1200,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 97', '97 -> State: 338, Extra: None')",259,0.0014271
1200,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 97', '97 -> State: 338, Extra: None')",7682,3.4592517
1200,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 97', '97 -> State: 338, Extra: None')",7682,3.7595842
1300,bidirectional_breadth_first_search,3,37,"('State: 0, Extra: None -> 21', '21 -> State: 62, Extra: None', '62 -> State: 1054, Extra: None')",1298,0.0060117
1300,best_first_search,2,21,"('State: 0, Extra: None -> 572', 'State: 572, Extra: None -> 1054')",11400,0.0493503
1300,bidirectional_best_first_search,2,21,"('State: 0, Extra: None -> 572', '572 -> State: 1054, Extra: None')",265,0.0014998
1300,near_optimal_front_to_end_bidirectional_search,2,21,"('State: 0, Extra: None -> 572', '572 -> State: 1054, Extra: None')",7807,3.7644033
1300,near_optimal_front_to_end_bidirectional_search_threads,2,21,"('State: 0, Extra: None -> 572', '572 -> State: 1054, Extra: None')",7807,3.9732666
1400,bidirectional_breadth_first_search,3,35,"('State: 0, Extra: None -> 8', 'State: 8, Extra: None -> 96', '96 -> State: 401, Extra: None')",432,0.0017802
1400,best_first_search,2,20,"('State: 0, Extra: None -> 915', 'State: 915, Extra: None -> 401')",12972,0.052927
1400,bidirectional_best_first_search,2,20,"('State: 0, Extra: None -> 915', '915 -> State: 401, Extra: None')",297,0.0016878
1400,near_optimal_front_to_end_bidirectional_search,2,20,"('State: 0, Extra: None -> 915', '915 -> State: 401, Extra: None')",8603,4.6330784
